HS_ENSG,Gene/Locus MIM number,Phenotype and Phenotype MIM number
ENSG00000089280,137070,"Amyotrophic lateral sclerosis 6, with or without frontotemporal dementia, 608030 | Essential tremor, hereditary, 4, 614782"
ENSG00000124164,605704,"Amyotrophic lateral sclerosis 8, 608627 | Spinal muscular atrophy, late-onset, Finkel type, 182980"
ENSG00000214274,105850,"Amyotrophic lateral sclerosis 9, 611895"
ENSG00000092439,605692,"Amyotrophic lateral sclerosis-parkinsonism/dementia complex, susceptibility to, 105500"
ENSG00000135406,170710,"Amyotrophic lateral sclerosis, susceptibility to, 105400"
ENSG00000100285,162230,"Amyotrophic lateral sclerosis, susceptibility to, 105400 | Charcot-Marie-Tooth disease, axonal, type 2CC, 616924"
ENSG00000184640,604061,"Amyotrophy, hereditary neuralgic, 162100 | Leukemia, acute myeloid, therapy-related | Ovarian carcinoma"
ENSG00000163631,103600,"Analbuminemia, 616000 | Dysalbuminemic hyperthyroxinemia, 615999"
ENSG00000258839,155555,"Analgesia from kappa-opioid receptor agonist, female-specific, 613098 | Skin/hair/eye pigmentation 2, blond hair/fair skin, 266300 | Skin/hair/eye pigmentation 2, red hair/fair skin, 266300 | Albinism, oculocutaneous, type II, modifier of, 203200 | Melanoma, cutaneous malignant, 5, 613099 | UV-induced skin damage, 266300"
ENSG00000269900,157660,"Anauxetic dysplasia 1, 607095 | Cartilage-hair hypoplasia, 250250 | Metaphyseal dysplasia without hypotrichosis, 250460"
ENSG00000104356,602486,"Anauxetic dysplasia 2, 617396"
ENSG00000123700,600681,"Andersen syndrome, 170390 | Atrial fibrillation, familial, 9, 613980 | Short QT syndrome 3, 609622"
ENSG00000169083,313700,"Androgen insensitivity, 300068 | Androgen insensitivity, partial, with or without breast cancer, 312300 | Hypospadias 1, X-linked, 300633 | Spinal and bulbar muscular atrophy of Kennedy, 313200 | Prostate cancer, susceptibility to, 176807"
ENSG00000122643,606224,"Anemia, hemolytic, due to UMPH1 deficiency, 266120"
ENSG00000112077,180297,"Anemia, hemolytic, Rh-null, regulator type, 268150 | Overhydrated hereditary stomatocytosis, 185000 | Rh-mod syndrome"
ENSG00000110911,600523,"Anemia, hypochromic microcytic, with iron overload 1, 206100"
ENSG00000115107,609671,"Anemia, hypochromic microcytic, with iron overload 2, 615234"
ENSG00000070182,182870,"Anemia, neonatal hemolytic, fatal and near-fatal | Elliptocytosis-3 | Spherocytosis, type 2, 616649"
ENSG00000158578,301300,"Anemia, sideroblastic, 1, 300751 | Protoporphyria, erythropoietic, X-linked, 300752"
ENSG00000144659,610819,"Anemia, sideroblastic, 2, pyridoxine-refractory, 205950"
ENSG00000182512,609588,"Anemia, sideroblastic, 3, pyridoxine-refractory, 616860 | Spasticity, childhood-onset, with hyperglycinemia, 616859"
ENSG00000113013,600548,"Anemia, sideroblastic, 4, 182170 | Even-plus syndrome, 616854"
ENSG00000131269,300135,"Anemia, sideroblastic, with ataxia, 301310"
ENSG00000102145,305371,"Anemia, X-linked, with/without neutropenia and/or platelet abnormalities, 300835 | Leukemia, megakaryoblastic, with or without Down syndrome, somatic, 190685 | Thrombocytopenia with beta-thalassemia, X-linked, 314050 | Thrombocytopenia, X-linked, with or without dyserythropoietic anemia, 300367"
ENSG00000152503,609317,"Anencephaly, 206500"
ENSG00000114062,601623,"Angelman syndrome, 105830"
ENSG00000122121,300145,"Angioedema induced by ACE inhibitors, susceptibility to, 300909"
ENSG00000131187,610619,"Angioedema, hereditary, type III, 610618 | Factor XII deficiency, 234000"
ENSG00000149131,606860,"Angioedema, hereditary, types I and II, 106100 | Complement component 4, partial deficiency of, 120790"
ENSG00000257017,140100,"Anhaptoglobinemia, 614081 | Hypohaptoglobinemia, 614081"
ENSG00000123104,600144,"Anhidrosis, isolated, with normal sweat glands, 106190"
ENSG00000109911,606985,"Aniridia 2, 617141"
ENSG00000166326,612298,"Aniridia 3, 617142"
ENSG00000101282,610573,"Anonychia congenita, 206800"
ENSG00000107859,602669,"Anterior segment dysgenesis 1, multiple subtypes, 107250 | Cataract 11, multiple types, 610623 | Cataract 11, syndromic, 610623"
ENSG00000186790,601094,"Anterior segment dysgenesis 2, multiple subtypes, 610256 | Cataract 34, multiple types, 612968 | Aortic aneurysm, familial thoracic 11, susceptibility to, 617349"
ENSG00000054598,601090,"Anterior segment dysgenesis 3, multiple subtypes, 601631 | Axenfeld-Rieger syndrome, type 3, 602482"
ENSG00000164093,601542,"Anterior segment dysgenesis 4, 137600 | Axenfeld-Rieger syndrome, type 1, 180500 | Ring dermoid of cornea, 180550"
ENSG00000138061,601771,"Anterior segment dysgenesis 6, multiple subtypes, 617315 | Glaucoma 3A, primary open angle, congenital, juvenile, or adult onset, 231300"
ENSG00000130508,605158,"Anterior segment dysgenesis 7, with sclerocornea, 269400"
ENSG00000160111,608841,"Anterior segment dysgenesis 8, 617319"
ENSG00000127948,124015,"Antley-Bixler syndrome with genital anomalies and disordered steroidogenesis, 201750 | Disordered steroidogenesis due to cytochrome P450 oxidoreductase, 613571"
ENSG00000066468,176943,"Antley-Bixler syndrome without genital anomalies or disordered steroidogenesis, 207410 | Apert syndrome, 101200 | Beare-Stevenson cutis gyrata syndrome, 123790 | Bent bone dysplasia syndrome, 614592 | Craniofacial-skeletal-dermatologic dysplasia, 101600 | Craniosynostosis, nonspecific | Crouzon syndrome, 123500 | Gastric cancer, somatic, 613659 | Jackson-Weiss syndrome, 123150 | LADD syndrome, 149730 | Pfeiffer syndrome, 101600 | Saethre-Chotzen syndrome, 101400 | Scaphocephaly and Axenfeld-Rieg"
ENSG00000108576,182138,"Anxiety-related personality traits, 607834 | Obsessive-compulsive disorder, 164230"
ENSG00000113083,153455,"Aortic aneurysm, familial thoracic 10, 617168"
ENSG00000133392,160745,"Aortic aneurysm, familial thoracic 4, 132900"
ENSG00000107796,102620,"Aortic aneurysm, familial thoracic 6, 611788 | Moyamoya disease 5, 614042 | Multisystemic smooth muscle dysfunction syndrome, 613834"
ENSG00000065534,600922,"Aortic aneurysm, familial thoracic 7, 613780"
ENSG00000185532,176894,"Aortic aneurysm, familial thoracic 8, 615436"
ENSG00000197614,601103,"Aortic aneurysm, familial thoracic 9, 616166"
ENSG00000137834,602931,"Aortic valve disease 2, 614823 | Craniosynostosis 7, susceptibility to, 617439"
ENSG00000030582,138945,"Aphasia, primary progressive, 607485 | Ceroid lipofuscinosis, neuronal, 11, 614706 | Frontotemporal lobar degeneration with ubiquitin-positive inclusions, 607485"
ENSG00000165733,611448,"Aplasia cutis congenita, nonsyndromic, 107600"
ENSG00000070193,602115,"Aplasia of lacrimal and salivary glands, 180920 | LADD syndrome, 149730"
ENSG00000180644,170280,"Aplastic anemia, 609135 | Hemophagocytic lymphohistiocytosis, familial, 2, 603553 | Lymphoma, non-Hodgkin, 605027"
ENSG00000104320,602667,"Aplastic anemia, 609135 | Leukemia, acute lymphoblastic, 613065 | Nijmegen breakage syndrome, 251260"
ENSG00000114200,177400,"Apnea, postanesthetic"
ENSG00000158874,107670,"Apolipoprotein A-II deficiency | Hypercholesterolemia, familial, modifier of, 143890"
ENSG00000110245,107720,"Apolipoprotein C-III deficiency, 614028"
ENSG00000176387,614232,"Apparent mineralocorticoid excess, 218030"
ENSG00000240583,107776,"Aquaporin-1 deficiency | Blood group, Colton, 110450"
ENSG00000118520,608313,"Argininemia, 207800"
ENSG00000126522,608310,"Argininosuccinic aciduria, 207900"
ENSG00000137869,107910,"Aromatase deficiency, 613546 | Aromatase excess syndrome, 139300"
ENSG00000132437,107930,"Aromatic L-amino acid decarboxylase deficiency, 608643"
ENSG00000119699,190230,"Arrhythmogenic right ventricular dysplasia 1, 107970 | Loeys-Dietz syndrome 5, 615582"
ENSG00000046604,125671,"Arrhythmogenic right ventricular dysplasia 10, 610193 | Cardiomyopathy, dilated, 1BB, 612877"
ENSG00000134755,125645,"Arrhythmogenic right ventricular dysplasia 11 with mild palmoplantar keratoderma and woolly hair, 610476 | Arrhythmogenic right ventricular dysplasia 11, 610476"
ENSG00000173801,173325,"Arrhythmogenic right ventricular dysplasia 12, 611528 | Naxos disease, 601214"
ENSG00000198626,180902,"Arrhythmogenic right ventricular dysplasia 2, 600996 | Ventricular tachycardia, catecholaminergic polymorphic, 1, 604772"
ENSG00000170876,612048,"Arrhythmogenic right ventricular dysplasia 5, 604400 | Emery-Dreifuss muscular dystrophy 7, AD, 614302"
ENSG00000096696,125647,"Arrhythmogenic right ventricular dysplasia 8, 607450 | Cardiomyopathy, dilated, with woolly hair and keratoderma, 605676 | Dilated cardiomyopathy with woolly hair, keratoderma, and tooth agenesis, 615821 | Epidermolysis bullosa, lethal acantholytic, 609638 | Keratosis palmoplantaris striata II, 612908 | Skin fragility-woolly hair syndrome, 607655"
ENSG00000057294,602861,"Arrhythmogenic right ventricular dysplasia 9, 609040"
ENSG00000183230,607667,"Arrhythmogenic right ventricular dysplasia, familial, 13, 615616"
ENSG00000197594,173335,"Arterial calcification, generalized, of infancy, 1, 208000 | Cole disease, 615522 | Hypophosphatemic rickets, autosomal recessive, 2, 613312 | Diabetes mellitus, non-insulin-dependent, susceptibility to, 125853 | Obesity, susceptibility to, 601665"
ENSG00000091262,603234,"Arterial calcification, generalized, of infancy, 2, 614473 | Pseudoxanthoma elasticum, 264800 | Pseudoxanthoma elasticum, forme fruste, 177850"
ENSG00000197496,606145,"Arterial tortuosity syndrome, 208050"
ENSG00000198467,190990,"Arthrogryposis multiplex congenita, distal, type 1, 108120 | Arthrogryposis, distal, type 2B, 601680 | CAP myopathy 2, 609285 | Nemaline myopathy 4, autosomal dominant, 609285"
ENSG00000130598,191043,"Arthrogryposis multiplex congenita, distal, type 2B, 601680"
ENSG00000153902,608303,"Arthrogryposis multiplex congenita, neurogenic, with myelin defect, 617468"
ENSG00000196091,160794,"Arthrogryposis, distal, type 1B, 614335 | Lethal congenital contracture syndrome 4, 614915"
ENSG00000109063,160720,"Arthrogryposis, distal, type 2A, 193700 | Arthrogryposis, distal, type 2B, 601680 | Arthrogryposis, distal, type 8, 178110"
ENSG00000130595,600692,"Arthrogryposis, distal, type 2B, 601680"
ENSG00000171551,605896,"Arthrogryposis, distal, type 5D, 615065"
ENSG00000119392,603371,"Arthrogryposis, lethal, with anterior horn cell disease, 611890 | Lethal congenital contracture syndrome 1, 253310"
ENSG00000117620,605632,"Arthrogryposis, mental retardation, and seizures, 615553"
ENSG00000119638,609798,"Arthrogryposis, Perthes disease, and upward gaze palsy, 614262 | Lethal congenital contracture syndrome 10, 617022 | Nevus comedonicus, somatic, 617025"
ENSG00000184056,608552,"Arthrogryposis, renal dysfunction, and cholestasis 1, 208085"
ENSG00000151445,613401,"Arthrogryposis, renal dysfunction, and cholestasis 2, 613404"
ENSG00000112761,603400,"Arthropathy, progressive pseudorheumatoid, of childhood, 208230 | Spondyloepiphyseal dysplasia tarda with progressive arthropathy, 208230"
ENSG00000147224,311850,"Arts syndrome, 301835 | Charcot-Marie-Tooth disease, X-linked recessive, 5, 311070 | Deafness, X-linked 1, 304500 | Gout, PRPS-related, 300661 | Phosphoribosylpyrophosphate synthetase superactivity, 300661"
ENSG00000070669,108370,"Asparagine synthetase deficiency, 615574"
ENSG00000120053,138180,"Aspartate aminotransferase, serum level of, QTL1, 614419"
ENSG00000038002,613228,"Aspartylglucosaminuria, 208400"
ENSG00000196338,300336,"Asperger syndrome susceptibility, X-linked 1, 300494 | Autism susceptibility, X-linked 1, 300425"
ENSG00000168028,150370,"Asplenia, isolated congenital, 271400"
ENSG00000073861,604895,"Asthma and nasal polyps, 208550 | Asthma, aspirin-induced, susceptibility to, 208550"
ENSG00000090376,604459,"Asthma susceptibility 5, 611064"
ENSG00000133048,601525,"Asthma-related traits, susceptibility to, 7, 611960 | Schizophrenia, susceptibility to, 181500"
ENSG00000125384,176804,"Asthma, aspirin-induced, susceptibility to, 208550"
ENSG00000012779,152390,"Asthma, diminished response to antileukotriene treatment in, 600807 | Atherosclerosis, susceptibility to"
ENSG00000171195,158375,"Asthma, protection against, 600807"
ENSG00000168229,604687,"Asthma, susceptibility to, 1, 607277"
ENSG00000187258,608595,"Asthma, susceptibility to, 2, 608584"
ENSG00000204632,142871,"Asthma, susceptibility to, 600807"
ENSG00000164265,606531,"Asthma, susceptibility to, 600807"
ENSG00000232810,191160,"Asthma, susceptibility to, 600807 | Dementia, vascular, susceptibility to | Malaria, cerebral, susceptibility to, 611162 | Migraine without aura, susceptibility to, 157300 | Septic shock, susceptibility to"
ENSG00000172156,601156,"Asthma, susceptibility to, 600807 | HIV1, resistance to, 609423"
ENSG00000137561,600415,"Ataxia with isolated vitamin E deficiency, 277460"
ENSG00000141506,611317,"Ataxia-oculomotor apraxia 3, 615217"
ENSG00000039650,605610,"Ataxia-oculomotor apraxia 4, 616267 | Microcephaly, seizures, and developmental delay, 613402"
ENSG00000177409,611170,"Ataxia-pancytopenia syndrome, 159550"
ENSG00000020922,600814,"Ataxia-telangiectasia-like disorder 1, 604391"
ENSG00000132646,176740,"Ataxia-telangiectasia-like disorder 2, 615919"
ENSG00000149311,607585,"Ataxia-telangiectasia, 208900 | Lymphoma, B-cell non-Hodgkin, somatic | Lymphoma, mantle cell, somatic | T-cell prolymphocytic leukemia, somatic | Breast cancer, susceptibility to, 114480"
ENSG00000167654,608179,"Ataxia, cerebellar, Cayman type, 601238"
ENSG00000102580,601184,"Ataxia, combined cerebellar and peripheral, with hearing loss and diabetes mellitus, 616192"
ENSG00000137074,606350,"Ataxia, early-onset, with oculomotor apraxia and hypoalbuminemia, 208920"
ENSG00000162769,609144,"Ataxia, posterior column, with retinitis pigmentosa, 609033"
ENSG00000120925,614649,"Ataxia, sensory, 1, autosomal dominant, 608984"
ENSG00000136068,603381,"Atelosteogenesis, type I, 108720 | Atelosteogenesis, type III, 108721 | Boomerang dysplasia, 112310 | Larsen syndrome, 150250 | Spondylocarpotarsal synostosis syndrome, 272460"
ENSG00000105991,142955,"Athabaskan brainstem dysgenesis syndrome, 601536 | Bosley-Salih-Alorainy syndrome, 601536"
ENSG00000149534,147138,"Atopy, susceptibility to, 147050"
ENSG00000091513,190000,"Atransferrinemia, 209300"
ENSG00000113569,606694,"Atrial fibrillation 15, 615770"
ENSG00000183873,600163,"Atrial fibrillation, familial, 10, 614022 | Brugada syndrome 1, 601144 | Cardiomyopathy, dilated, 1E, 601154 | Heart block, nonprogressive, 113900 | Heart block, progressive, type IA, 113900 | Long QT syndrome-3, 603830 | Sick sinus syndrome 1, 608567 | Ventricular fibrillation, familial, 1, 603829 | Sudden infant death syndrome, susceptibility to, 272120"
ENSG00000265107,121013,"Atrial fibrillation, familial, 11, 614049 | Atrial standstill, digenic (GJA5/SCN5A), 108770"
ENSG00000069431,601439,"Atrial fibrillation, familial, 12, 614050 | Cardiomyopathy, dilated, 1O, 608569 | Hypertrichotic osteochondrodysplasia, 239850"
ENSG00000105711,600235,"Atrial fibrillation, familial, 13, 615377 | Brugada syndrome 5, 612838 | Cardiac conduction defect, nonspecific, 612838 | Epilepsy, generalized, with febrile seizures plus, type 1, 604233 | Epileptic encephalopathy, early infantile, 52, 617350"
ENSG00000149575,601327,"Atrial fibrillation, familial, 14, 615378"
ENSG00000166257,608214,"Atrial fibrillation, familial, 16, 613120 | Brugada syndrome 7, 613120"
ENSG00000177098,608256,"Atrial fibrillation, familial, 17, 611819 | Long QT syndrome-10, 611819"
ENSG00000198336,160770,"Atrial fibrillation, familial, 18, 617280"
ENSG00000053918,607542,"Atrial fibrillation, familial, 3, 607554 | Jervell and Lange-Nielsen syndrome, 220400 | Long QT syndrome 1, 192500 | Short QT syndrome 2, 609621 | Long QT syndrome 1, acquired, susceptibility to, 192500"
ENSG00000159197,603796,"Atrial fibrillation, familial, 4, 611493 | Long QT syndrome 6, 613693"
ENSG00000175206,108780,"Atrial fibrillation, familial, 6, 612201 | Atrial standstill 2, 615745"
ENSG00000130037,176267,"Atrial fibrillation, familial, 7, 612240"
ENSG00000197616,160710,"Atrial septal defect 3, 614089 | Cardiomyopathy, dilated, 1EE, 613252 | Cardiomyopathy, hypertrophic, 14, 613251 | Sick sinus syndrome 3, 614090"
ENSG00000164532,606061,"Atrial septal defect 4, 611363"
ENSG00000159251,102540,"Atrial septal defect 5, 612794 | Cardiomyopathy, dilated, 1R, 613424 | Cardiomyopathy, hypertrophic, 11, 612098 | Left ventricular noncompaction 4, 613424"
ENSG00000038295,606742,"Atrial septal defect 6, 613087"
ENSG00000183072,600584,"Atrial septal defect 7, with or without AV conduction defects, 108900 | Conotruncal heart malformations, variable, 217095 | Hypoplastic left heart syndrome 2, 614435 | Hypothyroidism, congenital nongoitrous, 5, 225250 | Tetralogy of Fallot, 187500 | Ventricular septal defect 3, 614432"
ENSG00000164442,602937,"Atrial septal defect 8, 614433 | Ventricular septal defect 2, 614431"
ENSG00000141448,601656,"Atrial septal defect 9, 614475 | Atrioventricular septal defect 5, 614474 | Pancreatic agenesis and congenital heart defects, 600001 | Persistent truncus arteriosus, 217095 | Tetralogy of Fallot, 187500"
ENSG00000152661,121014,"Atrioventricular septal defect 3, 600309 | Craniometaphyseal dysplasia, autosomal recessive, 218400 | Erythrokeratodermia variabilis et progressiva 3, 617525 | Hypoplastic left heart syndrome 1, 241550 | Oculodentodigital dysplasia, 164200 | Oculodentodigital dysplasia, autosomal recessive, 257850 | Palmoplantar keratoderma with congenital alopecia, 104100 | Syndactyly, type III, 186100"
ENSG00000163703,607170,"Atrioventricular septal defect, partial, with heterotaxy syndrome, 606217 | Atrioventricular septal defect, susceptibility to, 2, 606217"
ENSG00000139287,607478,"Attention deficit-hyperactivity disorder, susceptibility to, 7, 613003 | Unipolar depression, susceptibility to, 608516"
